person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
0.20660400971006493,0.01714022037013531,-0.9218228945543367,0.0070579703435642935,-1.706125090957503,-0.18840792735221473,0,-0.19832756464536722,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-0.7603745904645114,-0.9103776889200101,0.5461121530500697,-0.7346338775464575,1.0386723026428992,0.002404484748506641,1,-0.6917005120212726,False,False,True,False,False,False,True,False,False,True,False,False,False,False
-1.0827007905227035,0.6134017334852288,0.05680047051526755,0.3940276301122713,-0.00290952452288576,-0.28381413340257516,0,-0.9383869857092252,False,True,False,True,False,False,False,False,False,True,False,False,False,False
-0.43804839040631927,0.2821453373101769,0.05680047051526755,-1.2989646313758219,-1.4604689996448177,-1.4286886060069026,0,-0.4450140383333199,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-0.9215376904936073,-1.3078853643300725,-0.43251121201953463,-0.8958712357834188,-0.3009722486489438,0.9564665452521127,0,-0.9383869857092252,False,False,True,True,False,False,False,False,True,False,False,False,False,False
2.3017243100883134,0.480899175015208,-0.43251121201953463,-1.1256344712710886,-1.3884098795264301,-1.333282399956542,0,1.2817912774823488,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.367767109739161,-0.8149758468215952,0.05680047051526755,-0.5733965193094962,-1.339278661263893,0.09781069079886706,0,0.2950453827305381,False,False,True,False,False,False,False,True,False,False,False,False,False,False
-0.2768852903772232,1.0771606881303015,-0.9218228945543367,1.6839264960079614,-0.00290952452288576,0.19321689684922774,0,-0.4450140383333199,False,False,False,False,False,False,False,True,True,False,False,False,False,False
-0.9215376904936073,0.1708431881953594,0.30145631178266863,0.0715529136383488,0.5277076327125139,-0.28381413340257516,1,-0.9383869857092252,False,False,True,True,False,False,False,False,False,True,False,False,False,False
-0.9215376904936073,-0.9898792240020226,-0.43251121201953463,-1.0893560656677723,-1.142753788213745,-0.6654389576040176,0,-0.6917005120212726,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-0.9215376904936073,-0.7347322974121506,-0.18785537075213354,-0.5733965193094962,0.28205154139982874,-0.09300172130185405,0,-0.4450140383333199,False,False,True,True,False,False,False,False,True,False,False,False,False,False
3.2687029102628897,0.5073996867092122,0.5461121530500697,0.10380038528574105,-1.706125090957503,-0.4746265455032965,0,2.0218506985462064,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0.528930209768257,-0.5128700135099478,-0.6771670532869357,-0.7346338775464575,0.7700883094743634,-0.5700327515536571,0,0.5417318564184908,False,False,True,False,False,False,False,True,False,True,False,False,False,False
1.1735826098846411,-0.7513746187559852,-0.43251121201953463,-0.2509218028355737,0.5015043163058275,0.47943551500030956,0,1.0351048037943962,False,True,False,False,False,False,False,True,True,False,False,False,False,False
-1.0827007905227035,-0.278313984506317,-0.6771670532869357,0.3940276301122713,-0.3271755650556302,0.47943551500030956,0,-0.9383869857092252,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-0.2768852903772232,-0.5923715485919603,-0.43251121201953463,-0.9764899149018994,-0.08479488829378082,-0.8562513697047389,0,-0.4450140383333199,False,False,True,False,False,False,True,False,True,False,False,False,False,False
-0.9215376904936073,-0.5658710368979561,0.5461121530500697,-0.5733965193094962,-1.0674192535445215,-0.28381413340257516,0,-0.4450140383333199,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-0.11572219034812715,1.2096632466003223,-0.43251121201953463,2.490113287192768,-0.00290952452288576,0.5748417210506702,0,0.048358909042585434,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-0.7603745904645114,0.5206499425562142,0.5461121530500697,2.1676385707188452,0.32463193056069445,0.9564665452521127,0,-0.9383869857092252,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.04544090968096889,-0.07561157055887924,-0.9218228945543367,-0.8958712357834188,-0.01601118272622927,-0.9516575757550995,0,0.5417318564184908,False,False,True,False,True,False,False,False,True,False,False,False,False,False
-0.2768852903772232,-1.042880247390031,-0.9218228945543367,-0.2509218028355737,0.2329203231372922,1.4334975755039157,0,-0.4450140383333199,False,False,True,False,False,True,False,False,True,False,False,False,False,False
