person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,loan_status
-0.9215376904936073,-0.1418628497938896,28.926189740068597,3.264052606730182,1.6446239945475225,3.1508092844104065,1,-0.6917005120212726,False,False,True,False,False,False,True,False,False,False,True,False,False,False,1
-1.0827007905227035,-1.3237856713464748,0.05680047051526755,-1.3795833104943025,0.04622169373965139,-0.6654389576040176,0,-0.9383869857092252,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0
-0.43804839040631927,-1.3237856713464748,-0.9218228945543367,-0.6540151984279768,0.6128684110342447,3.1508092844104065,0,-0.6917005120212726,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1
-0.7603745904645114,0.030390476217137388,-0.18785537075213354,3.264052606730182,1.3858662450314945,3.1508092844104065,0,-0.9383869857092252,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1
-0.5992114904354153,-0.2637652035863087,0.7907679943174708,3.264052606730182,1.0714264481512572,3.1508092844104065,1,-0.4450140383333199,False,False,True,False,False,True,False,False,False,True,False,False,False,False,1
-1.0827007905227035,-1.3237856713464748,-0.6771670532869357,-1.1377272731388606,-1.2639441265946698,0.7656541331513913,0,-0.9383869857092252,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1
-0.2768852903772232,0.3377964118675856,0.7907679943174708,3.264052606730182,0.4654747562466338,2.6737782541586035,0,-0.6917005120212726,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1
-0.5992114904354153,0.3869813615716573,0.05680047051526755,3.264052606730182,0.03639545008714361,2.5783720481082426,0,-0.4450140383333199,False,False,True,False,False,True,False,False,True,False,False,False,False,False,1
-0.5992114904354153,0.4941494308622101,0.7907679943174708,3.264052606730182,-0.6874711656475684,2.3875596360075213,0,-0.9383869857092252,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1
-1.0827007905227035,-1.3237856713464748,0.30145631178266863,-1.2828408955521258,1.22537093204054,-0.09300172130185405,0,-0.6917005120212726,False,True,False,False,False,False,False,True,False,False,True,False,False,False,1
-0.9215376904936073,0.5471504542502184,0.30145631178266863,3.264052606730182,-0.2059852266747058,2.292153429957161,0,-0.4450140383333199,False,False,True,False,False,False,False,True,True,False,False,False,False,False,1
-1.0827007905227035,-1.3237856713464748,-0.6771670532869357,-0.8152525566649381,-0.7759073585201348,2.6737782541586035,0,-0.9383869857092252,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1
-0.7603745904645114,0.8121555711902599,-0.6771670532869357,3.264052606730182,-1.0150126207311485,1.9105286057557185,0,-0.9383869857092252,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1
-0.2768852903772232,1.1609023050833547,-0.18785537075213354,3.264052606730182,2.4208972430956077,1.4334975755039157,0,-0.4450140383333199,False,False,True,True,False,False,False,False,False,False,False,True,False,False,1
-0.7603745904645114,1.342165805070343,-0.6771670532869357,3.264052606730182,-1.0150126207311485,1.2426851634031943,0,-0.4450140383333199,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0
